School,Common name,Team,City,State,Type,Enrollment,Primary conference
University of Hawaii at Manoa,Hawaii,Rainbow Warriors and Rainbow Wahine[A 13],Honolulu,Hawaii,State,"17,710",Big West Conference
Harvard University,Harvard,Crimson,Cambridge[A 12],Massachusetts,Private/Non-sectarian,"20,970",Ivy League
University of Hartford,Hartford,Hawks,West Hartford,Connecticut,Private/Non-sectarian,"6,792",America East Conference
Hampton University,Hampton,Pirates and Lady Pirates,Hampton,Virginia,Private/Non-sectarian,"4,646",Big South Conference
Grand Canyon University,Grand Canyon,Antelopes,Phoenix,Arizona,Private/Christian,"25,000",Western Athletic Conference
Grambling State University,Grambling,Tigers and Lady Tigers,Grambling,Louisiana,State,"5,232",Southwestern Athletic Conference
Gonzaga University,Gonzaga,Bulldogs,Spokane,Washington,Private/Catholic,"7,501",West Coast Conference
Georgia State University,Georgia State,Panthers,Atlanta,Georgia,State,"52,814",Sun Belt Conference
Georgia Southern University,Georgia Southern,Eagles and Lady Eagles,Statesboro,Georgia,State,"26,054",Sun Belt Conference
Georgia Institute of Technology,Georgia Tech,Yellow Jackets,Atlanta,Georgia,State,"32,718",Atlantic Coast Conference
University of Georgia,Georgia,Bulldogs and Lady Bulldogs[A 11],Athens,Georgia,State,"38,245",Southeastern Conference
Georgetown University,Georgetown,Hoyas,Washington,District of Columbia,Private/Catholic,"19,005",Big East Conference
George Washington University,George Washington,Colonials,Washington,District of Columbia,Private/Non-sectarian,"27,159",Atlantic 10 Conference
George Mason University,George Mason,Patriots,Fairfax,Virginia,State,"38,255",Atlantic 10 Conference
Gardner–Webb University,Gardner–Webb,Runnin' Bulldogs,Boiling Springs,North Carolina,Private/Baptist,"3,600",Big South Conference
Furman University,Furman,Paladins and Lady Paladins,Greenville,South Carolina,Private/Non-sectarian,"2,662",Southern Conference
Fordham University,Fordham,Rams,Bronx,New York,Private/Catholic,"16,037",Atlantic 10 Conference
Florida State University,Florida State,Seminoles,Tallahassee,Florida,State,"41,551",Atlantic Coast Conference
Florida International University,FIU,Panthers,Miami,Florida,State,"58,787",Conference USA
Florida Gulf Coast University,FGCU,Eagles,Fort Myers,Florida,State,"15,080",Atlantic Sun Conference
Florida Atlantic University,Florida Atlantic,Owls,Boca Raton,Florida,State,"30,808",Conference USA
Florida A&M University,Florida A&M,Rattlers and Lady Rattlers,Tallahassee,Florida,State,"10,031",Mid-Eastern Athletic Conference
University of Florida,Florida,Gators,Gainesville,Florida,State,"52,492",Southeastern Conference
Fairleigh Dickinson University,Fairleigh Dickinson,Knights,Hackensack,New Jersey,Private/Non-sectarian,"8,590",Northeast Conference
Fairfield University,Fairfield,Stags,Fairfield,Connecticut,Private/Catholic,"5,192",Metro Atlantic Athletic Conference
University of Evansville,Evansville,Purple Aces,Evansville,Indiana,Private/Methodist,"2,526",Missouri Valley Conference
Elon University,Elon,Phoenix,Elon,North Carolina,Private/Non-sectarian,"6,791",Colonial Athletic Association
Eastern Washington University,Eastern Washington,Eagles,Cheney,Washington,State,"12,607",Big Sky Conference
Eastern Michigan University,Eastern Michigan,Eagles,Ypsilanti,Michigan,State,"20,313",Mid-American Conference
Eastern Kentucky University,Eastern Kentucky,Colonels,Richmond,Kentucky,State,"15,816",Ohio Valley Conference
Eastern Illinois University,Eastern Illinois,Panthers,Charleston,Illinois,State,"7,806",Ohio Valley Conference
East Tennessee State University,East Tennessee State,Buccaneers and Lady Buccaneers,Johnson City,Tennessee,State,"14,334",Southern Conference
East Carolina University,East Carolina,Pirates and Lady Pirates,Greenville,North Carolina,State,"29,131",American Athletic Conference
